"Month","Lenex corporation: shipment of radios Jan?67-Dec?71 (12F5.0)"
"1967-01",2079
"1967-02",1952
"1967-03",1941
"1967-04",2311
"1967-05",3035
"1967-06",2276
"1967-07",3514
"1967-08",2398
"1967-09",2734
"1967-10",2650
"1967-11",2847
"1967-12",2495
"1968-01",2592
"1968-02",3190
"1968-03",2741
"1968-04",2806
"1968-05",2993
"1968-06",2704
"1968-07",2999
"1968-08",2640
"1968-09",2360
"1968-10",2413
"1968-11",2501
"1968-12",2391
"1969-01",2328
"1969-02",2691
"1969-03",3045
"1969-04",2918
"1969-05",3071
"1969-06",2847
"1969-07",3141
"1969-08",2730
"1969-09",2546
"1969-10",2255
"1969-11",2536
"1969-12",2495
"1970-01",2373
"1970-02",2734
"1970-03",2985
"1970-04",2889
"1970-05",3109
"1970-06",2638
"1970-07",3940
"1970-08",2986
"1970-09",3178
"1970-10",3122
"1970-11",2559
"1970-12",2625
"1971-01",2584
"1971-02",3271
"1971-03",3287
"1971-04",3536
"1971-05",4042
"1971-06",3165
"1971-07",4119
"1971-08",3178
"1971-09",3449
"1971-10",3687
"1971-11",4187
"1971-12",3112
"1972-01",3571
"1972-02",3755
"1972-03",4303
"1972-04",4651
"1972-05",4128
"1972-06",3953
"1972-07",4646
"1972-08",3622
"1972-09",3929
"1972-10",4183
"1972-11",3936
"1972-12",3758
"1973-01",3605
"1973-02",3919
"1973-03",3526
"1973-04",2997
"1973-05",2883
"1973-06",2346
"1973-07",2773
"1973-08",2539
"1973-09",3052
"1973-10",3311
"1973-11",3836
"1973-12",2942
"1974-01",3356
"1974-02",4070
"1974-03",3657
"1974-04",3348
"1974-05",3562
"1974-06",3335
"1974-07",3660
"1974-08",3426
"1974-09",3530
"1974-10",3263
"1974-11",3471
"1974-12",3212
"1975-01",3600
"1975-02",3408
"1975-03",3921
"1975-04",3462
"1975-05",3408
"1975-06",3315
"1975-07",4463
"1975-08",3213
"1975-09",3195
"1975-10",2976
"1975-11",2759
"1975-12",2659
"1976-01",3419
"1976-02",3348
"1976-03",3311
"1976-04",3488
"1976-05",2941
"1976-06",3142
"1976-07",2935
"1976-08",2440
"1976-09",2591
"1976-10",2314
"1976-11",2346
"1976-12",2252
"1977-01",1990
"1977-02",2354
"1977-03",2639
"1977-04",2915
"1977-05",2977
"1977-06",3105
"1977-07",2994
"1977-08",2454
"1977-09",2372
"1977-10",2709
"1977-11",2833
"1977-12",3173
"1978-01",2250
"1978-02",2831
"1978-03",3351
"1978-04",3275
"1978-05",3271
"1978-06",3218
"1978-07",3732
"1978-08",2813
"1978-09",2845
"1978-10",3036
"1978-11",2996
"1978-12",2670
